Time	Sum	Command
7	3756	> __fish_on_interactive
83	3744	-> __fish_config_interactive
445	449	--> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/__fish_config_interactive.fish
4	4	---> function __fish_config_interactive -d "Initializations that should be performed when entering interactive mode"...
1	8	--> if test $__fish_initialized -lt 3000...
7	7	---> test $__fish_initialized -lt 3000
1	4	--> if set -q __fish_config_interactive_done...
3	3	---> set -q __fish_config_interactive_done
3	3	--> set -g __fish_config_interactive_done
3	3	--> set -g __fish_active_key_bindings
3	3	--> function __init_uvar -d "Sets a universal variable if it's not already set"...
0	3	--> if test $__fish_initialized -lt 3100...
3	3	---> test $__fish_initialized -lt 3100
5	27	--> if not set -q FISH_UNIT_TESTS_RUNNING...
2	2	---> not set -q FISH_UNIT_TESTS_RUNNING
6	6	---> set -l script $__fish_data_dir/tools/create_manpage_completions.py
1	14	---> if not test -d $__fish_user_data_dir/generated_completions...
13	13	----> not test -d $__fish_user_data_dir/generated_completions
4	232	--> if status --is-interactive...
3	3	---> status --is-interactive
56	210	---> functions -q fish_greeting
152	154	----> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/fish_greeting.fish
2	2	-----> function fish_greeting...
7	15	---> fish_greeting
0	3	----> if not set -q fish_greeting...
3	3	-----> not set -q fish_greeting
0	2	----> if set -q fish_private_mode...
2	2	-----> set -q fish_private_mode
3	3	----> test -n "$fish_greeting"
0	8	--> if test -d /etc/init.d...
8	8	---> test -d /etc/init.d
5	5	--> complete -c [ --wraps test
3	3	--> complete -c ! --wraps not
75	147	--> complete -c(builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)') --no-files
72	72	---> builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)'
4	4	--> function __fish_reload_key_bindings -d "Reload key bindings when binding variable change" --on-variable fish_key_bindings...
10	2588	--> __fish_reload_key_bindings
9	14	---> __init_uvar fish_key_bindings fish_default_key_bindings
0	5	----> if not set --query $argv[1]...
5	5	-----> not set --query $argv[1]
1	9	---> if test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"...
8	8	----> test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"
1	311	---> if not functions -q "$fish_key_bindings"...
55	310	----> not functions -q "$fish_key_bindings"
252	255	-----> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/fish_default_key_bindings.fish
3	3	------> function fish_default_key_bindings -d "Default (Emacs-like) key bindings for fish"...
6	6	---> set -g __fish_active_key_bindings "$fish_key_bindings"
3	3	---> set -g fish_bind_mode default
3	1329	---> if test "$fish_key_bindings" = fish_default_key_bindings...
4	4	----> test "$fish_key_bindings" = fish_default_key_bindings
109	1322	----> fish_default_key_bindings 2>/dev/null
1	9	-----> if contains -- -h $argv...
5	5	------> contains -- -h $argv
3	3	------> contains -- --help $argv
3	15	-----> if not set -q argv[1]...
2	2	------> not set -q argv[1]
6	6	------> bind --erase --all --preset
0	4	------> if test "$fish_key_bindings" != fish_default_key_bindings...
4	4	-------> test "$fish_key_bindings" != fish_default_key_bindings
2	8	-----> if not contains -- -s $argv...
3	3	------> not contains -- -s $argv
3	3	------> set argv -s $argv
102	979	-----> __fish_shared_key_bindings $argv
344	352	------> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/__fish_shared_key_bindings.fish
3	3	-------> function __fish_shared_key_bindings -d "Bindings shared between emacs and vi mode"...
3	3	-------> function __fish_commandline_insert_escaped --description 'Insert the first arg escaped if a second arg is given'...
1	1	-------> function __fish_start_bracketed_paste...
1	1	-------> function __fish_stop_bracketed_paste...
0	8	------> if contains -- -h $argv...
4	4	-------> contains -- -h $argv
4	4	-------> contains -- --help $argv
4	4	------> bind --preset $argv \cy yank
4	4	------> bind --preset $argv \ey yank-pop
5	5	------> bind --preset $argv -k right forward-char
4	4	------> bind --preset $argv -k left backward-char
4	4	------> bind --preset $argv \e\[C forward-char
3	3	------> bind --preset $argv \e\[D backward-char
3	3	------> bind --preset $argv \eOC forward-char
3	3	------> bind --preset $argv \eOD backward-char
3	3	------> bind --preset $argv \e\[1\;5C forward-word
4	4	------> bind --preset $argv \e\[1\;5D backward-word
4	4	------> bind --preset $argv -k ppage beginning-of-history
4	4	------> bind --preset $argv -k npage end-of-history
4	4	------> bind --preset $argv \cx fish_clipboard_copy
4	4	------> bind --preset $argv \cv fish_clipboard_paste
4	4	------> bind --preset $argv \e cancel
4	4	------> bind --preset $argv \t complete
3	3	------> bind --preset $argv \cs pager-toggle-search
4	4	------> bind --preset $argv --key btab complete-and-search
4	4	------> bind --preset $argv \e\n "commandline -f expand-abbr; commandline -i \n"
4	4	------> bind --preset $argv \e\r "commandline -f expand-abbr; commandline -i \n"
4	4	------> bind --preset $argv -k down down-or-search
5	5	------> bind --preset $argv -k up up-or-search
4	4	------> bind --preset $argv \e\[A up-or-search
4	4	------> bind --preset $argv \e\[B down-or-search
3	3	------> bind --preset $argv \eOA up-or-search
4	4	------> bind --preset $argv \eOB down-or-search
5	5	------> bind --preset $argv -k sright forward-bigword
5	5	------> bind --preset $argv -k sleft backward-bigword
4	4	------> bind --preset $argv \e\eOC nextd-or-forward-word
4	4	------> bind --preset $argv \e\eOD prevd-or-backward-word
4	4	------> bind --preset $argv \e\e\[C nextd-or-forward-word
3	3	------> bind --preset $argv \e\e\[D prevd-or-backward-word
4	4	------> bind --preset $argv \eO3C nextd-or-forward-word
3	3	------> bind --preset $argv \eO3D prevd-or-backward-word
3	3	------> bind --preset $argv \e\[3C nextd-or-forward-word
3	3	------> bind --preset $argv \e\[3D prevd-or-backward-word
4	4	------> bind --preset $argv \e\[1\;3C nextd-or-forward-word
4	4	------> bind --preset $argv \e\[1\;3D prevd-or-backward-word
4	4	------> bind --preset $argv \e\[1\;9C nextd-or-forward-word
4	4	------> bind --preset $argv \e\[1\;9D prevd-or-backward-word
4	4	------> bind --preset $argv \e\eOA history-token-search-backward
4	4	------> bind --preset $argv \e\eOB history-token-search-forward
4	4	------> bind --preset $argv \e\e\[A history-token-search-backward
4	4	------> bind --preset $argv \e\e\[B history-token-search-forward
3	3	------> bind --preset $argv \eO3A history-token-search-backward
3	3	------> bind --preset $argv \eO3B history-token-search-forward
4	4	------> bind --preset $argv \e\[3A history-token-search-backward
4	4	------> bind --preset $argv \e\[3B history-token-search-forward
4	4	------> bind --preset $argv \e\[1\;3A history-token-search-backward
3	3	------> bind --preset $argv \e\[1\;3B history-token-search-forward
4	4	------> bind --preset $argv \e\[1\;9A history-token-search-backward
4	4	------> bind --preset $argv \e\[1\;9B history-token-search-forward
3	3	------> bind --preset $argv \e. history-token-search-backward
3	3	------> bind --preset $argv \el __fish_list_current_token
3	3	------> bind --preset $argv \eo __fish_preview_current_file
3	3	------> bind --preset $argv \ew __fish_whatis_current_token
5	5	------> bind --preset $argv \cl 'echo -n (clear | string replace \e\[3J ""); commandline -f repaint'
3	3	------> bind --preset $argv \cc cancel-commandline
3	3	------> bind --preset $argv \cu backward-kill-line
3	3	------> bind --preset $argv \cw backward-kill-path-component
4	4	------> bind --preset $argv \e\[F end-of-line
3	3	------> bind --preset $argv \e\[H beginning-of-line
5	5	------> bind --preset $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
3	3	------> bind --preset $argv \cd delete-or-exit
4	4	------> bind --preset $argv \es "fish_commandline_prepend sudo"
4	4	------> bind --preset $argv -k f1 __fish_man_page
4	4	------> bind --preset $argv \eh __fish_man_page
8	8	------> bind --preset $argv \ep __fish_paginate
5	5	------> bind --preset $argv \e\# __fish_toggle_comment_commandline
4	4	------> bind --preset $argv \ee edit_command_buffer
3	3	------> bind --preset $argv \ev edit_command_buffer
49	118	------> for mode in (bind --list-modes | string match -v paste)...
41	41	-------> bind --list-modes | string match -v paste
6	6	-------> bind --preset -M $mode \e\[I 'emit fish_focus_in'
4	4	-------> bind --preset -M $mode \e\[O false
5	5	-------> bind --preset -M $mode \e\[\?1004h false
5	5	-------> bind --preset -M $mode \e\[I 'emit fish_focus_in'
4	4	-------> bind --preset -M $mode \e\[O false
4	4	-------> bind --preset -M $mode \e\[\?1004h false
48	102	------> for mode in (bind --list-modes | string match -v paste)...
35	35	-------> bind --list-modes | string match -v paste
12	12	-------> bind --preset -M $mode -m paste \e\[200~ __fish_start_bracketed_paste
7	7	-------> bind --preset -M $mode -m paste \e\[200~ __fish_start_bracketed_paste
5	5	------> bind --preset -M paste \e\[201~ __fish_stop_bracketed_paste
4	4	------> bind --preset -M paste "" self-insert
4	4	------> bind --preset -M paste \r "commandline -i \n"
5	5	------> bind --preset -M paste "'" "__fish_commandline_insert_escaped \' \$__fish_paste_quoted"
4	4	------> bind --preset -M paste \\ "__fish_commandline_insert_escaped \\\ \$__fish_paste_quoted"
3	3	------> bind --preset -M paste " " self-insert-notfirst
4	4	-----> bind --preset $argv "" self-insert
4	4	-----> bind --preset $argv " " self-insert expand-abbr
4	4	-----> bind --preset $argv ";" self-insert expand-abbr
4	4	-----> bind --preset $argv "|" self-insert expand-abbr
4	4	-----> bind --preset $argv "&" self-insert expand-abbr
4	4	-----> bind --preset $argv "^" self-insert expand-abbr
4	4	-----> bind --preset $argv ">" self-insert expand-abbr
4	4	-----> bind --preset $argv "<" self-insert expand-abbr
4	4	-----> bind --preset $argv ")" self-insert expand-abbr
6	6	-----> bind --preset $argv -k nul 'commandline -i " "'
4	4	-----> bind --preset $argv \n execute
3	3	-----> bind --preset $argv \r execute
3	3	-----> bind --preset $argv \ck kill-line
3	3	-----> bind --preset $argv \eOC forward-char
3	3	-----> bind --preset $argv \eOD backward-char
3	3	-----> bind --preset $argv \e\[C forward-char
3	3	-----> bind --preset $argv \e\[D backward-char
4	4	-----> bind --preset $argv -k right forward-char
3	3	-----> bind --preset $argv -k left backward-char
